"geoid","temp","rh","wbt"
"01001",27.6,75.8,75.6
"01003",27.7,82.9,77.6
"01005",28.4,72.6,76.1
"01007",27.2,76.7,75.1
"01009",25.8,77,72.8
"01011",28.1,72.4,75.5
"01013",27.7,76.7,76
"01015",26.8,74.4,73.9
"01017",27.3,73.9,74.6
"01019",26.4,73.3,72.9
"01021",27.1,74.4,74.4
"01023",27.1,81.1,76.1
"01025",27.4,80.1,76.4
"01027",26.4,74.2,73.1
"01029",26.2,74.7,72.9
"01031",28,75,76.1
"01033",25.8,77.1,72.8
"01035",27.5,77.8,75.9
"01037",27.2,73.9,74.4
"01039",27.9,78.5,76.8
"01041",27.8,75.5,75.8
"01043",26.3,77.9,73.9
"01045",28,75.7,76.2
"01047",28,74.8,76
"01049",24.6,75.4,70.4
"01051",27.8,74,75.5
"01053",27.6,80.8,76.9
"01055",25.8,76.8,72.8
"01057",26.4,78.1,74.1
"01059",26.4,77.9,74.1
"01061",28.3,77.6,77.3
"01063",27,80.3,75.7
"01065",27.2,79.3,75.8
"01067",28.4,72.6,76.1
"01069",28.1,77.7,76.9
"01071",24.9,77.1,71.3
"01073",26.2,75.3,73.1
"01075",26.8,79.3,75.1
"01077",25.8,76.8,72.8
"01079",26.5,75.9,73.7
"01081",28.2,71.8,75.5
"01083",26.5,75.7,73.7
"01085",27.8,74.6,75.6
"01087",28.3,71.1,75.5
"01089",25.7,77.2,72.7
"01091",27.3,79.2,76
"01093",26.3,78.5,74.1
"01095",25.7,77.6,72.8
"01097",27.6,80.4,76.8
"01099",28,76.1,76.4
"01101",27.9,73.8,75.6
"01103",26.4,76.4,73.7
"01105",27.7,76.9,76
"01107",27,80.2,75.7
"01109",27.9,75.5,76
"01111",27.3,73.9,74.6
"01113",28.4,71.7,75.9
"01115",26.8,74.5,73.9
"01117",26.9,75.3,74.3
"01119",27.2,79.6,75.9
"01121",26.9,73.9,73.9
"01123",27.3,73.9,74.6
"01125",27,77.9,75.1
"01127",26.4,77.7,74
"01129",27.2,81.9,76.5
"01131",28.1,74.6,76.1
"01133",26.4,76.8,73.8
"02013",9.5,93.8,47.9
"02016",8.6,94.8,46.4
"02020",8.7,73.3,42.9
"02050",7.9,94.9,45.2
"02060",12,90.2,51.6
"02063",11.6,91.3,51.1
"02066",13.7,75.7,51.8
"02068",17.5,65.4,56.1
"02070",10.4,84.3,47.7
"02090",17.7,67.4,56.9
"02100",9.6,76.6,45
"02105",7,81.1,41.3
"02110",14.3,85.7,54.8
"02122",6.8,80.6,40.8
"02130",13.5,79.8,52.3
"02150",13.3,90.8,54.1
"02158",9.5,93.3,47.8
"02164",13.3,86.3,53.2
"02170",8.6,86.5,45
"02180",8.7,87.5,45.3
"02185",3.6,95.8,37.6
"02188",10.9,86.1,48.9
"02195",5.6,81.3,38.9
"02198",14.7,87.4,55.9
"02220",12.2,79.9,50.1
"02230",9.1,74.4,43.8
"02240",15.9,63.3,53.1
"02275",14.3,87.2,55.1
"02282",2.9,79,33.9
"02290",9.4,81.1,45.4
"04001",29.6,25.6,62.7
"04003",26.8,44.7,65.6
"04005",28.8,28.7,62.9
"04007",25,48.9,64.1
"04009",29.5,37.5,67.2
"04011",24.8,46.1,63
"04012",34.1,29.9,70.6
"04013",34.6,32.3,72.3
"04015",28.4,30.7,63.2
"04017",26.1,30.7,60
"04019",31.1,39.8,70.3
"04021",34.3,35.6,73.3
"04023",24.4,58,65.6
"04025",26.6,40,63.8
"04027",36.3,29.8,73.5
"05001",27.7,76,75.8
"05003",28.2,77.5,77.1
"05005",26.2,73,72.5
"05007",26,72.8,72.1
"05009",24.8,75.1,70.6
"05011",27.6,77.7,76.1
"05013",27.6,77.7,76.1
"05015",24.8,75.1,70.6
"05017",28.2,77.5,77.1
"05019",27.3,76.3,75.2
"05021",27.4,74.1,74.8
"05023",26.9,74.6,74.1
"05025",27.6,77,75.9
"05027",27.6,75.4,75.5
"05029",27,73.9,74.1
"05031",27.7,75.3,75.6
"05033",27.3,73.6,74.5
"05035",27.6,76.5,75.8
"05037",27.6,75.8,75.6
"05039",27.4,77.8,75.8
